prob_num,title,href,paywall,acceptance_rate,difficulty,uplikes,downlikes,verbosity,category
211,Design Add and Search Words Data Structure,/problems/design-add-and-search-words-data-structure,free,44.0%,Medium
212,Word Search II,/problems/word-search-ii,free,38.2%,Hard
213,House Robber II,/problems/house-robber-ii,free,39.7%,Medium
214,Shortest Palindrome,/problems/shortest-palindrome,free,31.7%,Hard
215,Kth Largest Element in an Array,/problems/kth-largest-element-in-an-array,free,63.0%,Medium
216,Combination Sum III,/problems/combination-sum-iii,free,63.7%,Medium
217,Contains Duplicate,/problems/contains-duplicate,free,60.5%,Easy
218,The Skyline Problem,/problems/the-skyline-problem,free,38.5%,Hard
219,Contains Duplicate II,/problems/contains-duplicate-ii,free,40.6%,Easy
220,Contains Duplicate III,/problems/contains-duplicate-iii,free,21.7%,Medium
221,Maximal Square,/problems/maximal-square,free,43.2%,Medium
222,Count Complete Tree Nodes,/problems/count-complete-tree-nodes,free,54.8%,Medium
223,Rectangle Area,/problems/rectangle-area,free,40.0%,Medium
224,Basic Calculator,/problems/basic-calculator,free,40.3%,Hard
225,Implement Stack using Queues,/problems/implement-stack-using-queues,free,52.2%,Easy
226,Invert Binary Tree,/problems/invert-binary-tree,free,71.2%,Easy
227,Basic Calculator II,/problems/basic-calculator-ii,free,41.4%,Medium
228,Summary Ranges,/problems/summary-ranges,free,46.3%,Easy
229,Majority Element II,/problems/majority-element-ii,free,42.0%,Medium
230,Kth Smallest Element in a BST,/problems/kth-smallest-element-in-a-bst,free,66.4%,Medium
231,Power of Two,/problems/power-of-two,free,44.9%,Easy
232,Implement Queue using Stacks,/problems/implement-queue-using-stacks,free,57.5%,Easy
233,Number of Digit One,/problems/number-of-digit-one,free,33.4%,Hard
234,Palindrome Linked List,/problems/palindrome-linked-list,free,46.2%,Easy
235,Lowest Common Ancestor of a Binary Search Tree,/problems/lowest-common-ancestor-of-a-binary-search-tree,free,56.6%,Easy
236,Lowest Common Ancestor of a Binary Tree,/problems/lowest-common-ancestor-of-a-binary-tree,free,54.8%,Medium
237,Delete Node in a Linked List,/problems/delete-node-in-a-linked-list,free,71.5%,Easy
238,Product of Array Except Self,/problems/product-of-array-except-self,free,63.7%,Medium
239,Sliding Window Maximum,/problems/sliding-window-maximum,free,46.2%,Hard
240,Search a 2D Matrix II,/problems/search-a-2d-matrix-ii,free,48.1%,Medium
241,Different Ways to Add Parentheses,/problems/different-ways-to-add-parentheses,free,61.3%,Medium
242,Valid Anagram,/problems/valid-anagram,free,61.2%,Easy
243,Shortest Word Distance,/problems/shortest-word-distance,premium,64.1%,Easy
244,Shortest Word Distance II,/problems/shortest-word-distance-ii,premium,59.1%,Medium
245,Shortest Word Distance III,/problems/shortest-word-distance-iii,premium,57.1%,Medium
246,Strobogrammatic Number,/problems/strobogrammatic-number,premium,47.5%,Easy
247,Strobogrammatic Number II,/problems/strobogrammatic-number-ii,premium,50.8%,Medium
248,Strobogrammatic Number III,/problems/strobogrammatic-number-iii,premium,41.3%,Hard
249,Group Shifted Strings,/problems/group-shifted-strings,premium,63.1%,Medium
250,Count Univalue Subtrees,/problems/count-univalue-subtrees,premium,54.7%,Medium
251,Flatten 2D Vector,/problems/flatten-2d-vector,premium,47.8%,Medium
252,Meeting Rooms,/problems/meeting-rooms,premium,56.6%,Easy
253,Meeting Rooms II,/problems/meeting-rooms-ii,premium,49.5%,Medium
254,Factor Combinations,/problems/factor-combinations,premium,48.6%,Medium
255,Verify Preorder Sequence in Binary Search Tree,/problems/verify-preorder-sequence-in-binary-search-tree,premium,47.4%,Medium
256,Paint House,/problems/paint-house,premium,58.3%,Medium
257,Binary Tree Paths,/problems/binary-tree-paths,free,58.2%,Easy
258,Add Digits,/problems/add-digits,free,62.3%,Easy
259,3Sum Smaller,/problems/3sum-smaller,premium,50.3%,Medium
260,Single Number III,/problems/single-number-iii,free,67.1%,Medium
261,Graph Valid Tree,/problems/graph-valid-tree,premium,45.6%,Medium
262,Trips and Users,/problems/trips-and-users,free,37.6%,Hard
263,Ugly Number,/problems/ugly-number,free,41.8%,Easy
264,Ugly Number II,/problems/ugly-number-ii,free,45.1%,Medium
265,Paint House II,/problems/paint-house-ii,premium,50.4%,Hard
266,Palindrome Permutation,/problems/palindrome-permutation,premium,65.2%,Easy
267,Palindrome Permutation II,/problems/palindrome-permutation-ii,premium,39.5%,Medium
268,Missing Number,/problems/missing-number,free,59.1%,Easy
269,Alien Dictionary,/problems/alien-dictionary,premium,34.7%,Hard
270,Closest Binary Search Tree Value,/problems/closest-binary-search-tree-value,premium,53.5%,Easy
271,Encode and Decode Strings,/problems/encode-and-decode-strings,premium,37.2%,Medium
272,Closest Binary Search Tree Value II,/problems/closest-binary-search-tree-value-ii,premium,56.4%,Hard
273,Integer to English Words,/problems/integer-to-english-words,free,29.5%,Hard
274,H-Index,/problems/h-index,free,37.4%,Medium
275,H-Index II,/problems/h-index-ii,free,36.9%,Medium
276,Paint Fence,/problems/paint-fence,premium,42.6%,Medium
277,Find the Celebrity,/problems/find-the-celebrity,premium,46.3%,Medium
278,First Bad Version,/problems/first-bad-version,free,41.3%,Easy
279,Perfect Squares,/problems/perfect-squares,free,51.7%,Medium
280,Wiggle Sort,/problems/wiggle-sort,premium,65.9%,Medium
281,Zigzag Iterator,/problems/zigzag-iterator,premium,61.3%,Medium
282,Expression Add Operators,/problems/expression-add-operators,free,39.1%,Hard
283,Move Zeroes,/problems/move-zeroes,free,60.4%,Easy
284,Peeking Iterator,/problems/peeking-iterator,free,53.5%,Medium
285,Inorder Successor in BST,/problems/inorder-successor-in-bst,premium,46.7%,Medium
286,Walls and Gates,/problems/walls-and-gates,premium,59.0%,Medium
287,Find the Duplicate Number,/problems/find-the-duplicate-number,free,58.4%,Medium
288,Unique Word Abbreviation,/problems/unique-word-abbreviation,premium,24.6%,Medium
289,Game of Life,/problems/game-of-life,free,62.5%,Medium
290,Word Pattern,/problems/word-pattern,free,40.2%,Easy
291,Word Pattern II,/problems/word-pattern-ii,premium,46.0%,Medium
292,Nim Game,/problems/nim-game,free,55.4%,Easy
293,Flip Game,/problems/flip-game,premium,62.4%,Easy
294,Flip Game II,/problems/flip-game-ii,premium,51.4%,Medium
295,Find Median from Data Stream,/problems/find-median-from-data-stream,free,50.1%,Hard
296,Best Meeting Point,/problems/best-meeting-point,premium,59.4%,Hard
297,Serialize and Deserialize Binary Tree,/problems/serialize-and-deserialize-binary-tree,free,53.4%,Hard
298,Binary Tree Longest Consecutive Sequence,/problems/binary-tree-longest-consecutive-sequence,premium,51.0%,Medium
299,Bulls and Cows,/problems/bulls-and-cows,free,47.0%,Medium
300,Longest Increasing Subsequence,/problems/longest-increasing-subsequence,free,48.9%,Medium
301,Remove Invalid Parentheses,/problems/remove-invalid-parentheses,free,46.7%,Hard
302,Smallest Rectangle Enclosing Black Pixels,/problems/smallest-rectangle-enclosing-black-pixels,premium,56.3%,Hard
303,Range Sum Query - Immutable,/problems/range-sum-query-immutable,free,54.8%,Easy
304,Range Sum Query 2D - Immutable,/problems/range-sum-query-2d-immutable,free,47.2%,Medium
305,Number of Islands II,/problems/number-of-islands-ii,premium,39.3%,Hard
306,Additive Number,/problems/additive-number,free,30.5%,Medium
307,Range Sum Query - Mutable,/problems/range-sum-query-mutable,free,38.6%,Medium
308,Range Sum Query 2D - Mutable,/problems/range-sum-query-2d-mutable,premium,40.8%,Hard
309,Best Time to Buy and Sell Stock with Cooldown,/problems/best-time-to-buy-and-sell-stock-with-cooldown,free,52.1%,Medium
310,Minimum Height Trees,/problems/minimum-height-trees,free,38.0%,Medium
311,Sparse Matrix Multiplication,/problems/sparse-matrix-multiplication,premium,65.8%,Medium
312,Burst Balloons,/problems/burst-balloons,free,56.2%,Hard
313,Super Ugly Number,/problems/super-ugly-number,free,45.9%,Medium
314,Binary Tree Vertical Order Traversal,/problems/binary-tree-vertical-order-traversal,premium,50.9%,Medium
315,Count of Smaller Numbers After Self,/problems/count-of-smaller-numbers-after-self,free,42.1%,Hard
316,Remove Duplicate Letters,/problems/remove-duplicate-letters,free,43.7%,Medium
317,Shortest Distance from All Buildings,/problems/shortest-distance-from-all-buildings,premium,43.4%,Hard
318,Maximum Product of Word Lengths,/problems/maximum-product-of-word-lengths,free,56.5%,Medium
319,Bulb Switcher,/problems/bulb-switcher,free,47.1%,Medium
320,Generalized Abbreviation,/problems/generalized-abbreviation,premium,56.1%,Medium
321,Create Maximum Number,/problems/create-maximum-number,free,28.3%,Hard
322,Coin Change,/problems/coin-change,free,39.9%,Medium
323,Number of Connected Components in an Undirected Graph,/problems/number-of-connected-components-in-an-undirected-graph,premium,60.8%,Medium
324,Wiggle Sort II,/problems/wiggle-sort-ii,free,32.1%,Medium
325,Maximum Size Subarray Sum Equals k,/problems/maximum-size-subarray-sum-equals-k,premium,49.0%,Medium
326,Power of Three,/problems/power-of-three,free,43.4%,Easy
327,Count of Range Sum,/problems/count-of-range-sum,free,36.0%,Hard
328,Odd Even Linked List,/problems/odd-even-linked-list,free,59.4%,Medium
329,Longest Increasing Path in a Matrix,/problems/longest-increasing-path-in-a-matrix,free,49.4%,Hard
330,Patching Array,/problems/patching-array,free,39.4%,Hard
331,Verify Preorder Serialization of a Binary Tree,/problems/verify-preorder-serialization-of-a-binary-tree,free,43.6%,Medium
332,Reconstruct Itinerary,/problems/reconstruct-itinerary,free,40.0%,Hard
333,Largest BST Subtree,/problems/largest-bst-subtree,premium,41.0%,Medium
334,Increasing Triplet Subsequence,/problems/increasing-triplet-subsequence,free,41.4%,Medium
335,Self Crossing,/problems/self-crossing,free,29.1%,Hard
336,Palindrome Pairs,/problems/palindrome-pairs,free,36.0%,Hard
337,House Robber III,/problems/house-robber-iii,free,53.4%,Medium
338,Counting Bits,/problems/counting-bits,free,74.1%,Easy
339,Nested List Weight Sum,/problems/nested-list-weight-sum,premium,80.7%,Medium
340,Longest Substring with At Most K Distinct Characters,/problems/longest-substring-with-at-most-k-distinct-characters,premium,47.2%,Medium
341,Flatten Nested List Iterator,/problems/flatten-nested-list-iterator,free,58.4%,Medium
342,Power of Four,/problems/power-of-four,free,43.7%,Easy
343,Integer Break,/problems/integer-break,free,53.8%,Medium
344,Reverse String,/problems/reverse-string,free,74.0%,Easy
345,Reverse Vowels of a String,/problems/reverse-vowels-of-a-string,free,46.8%,Easy
346,Moving Average from Data Stream,/problems/moving-average-from-data-stream,premium,76.0%,Easy
347,Top K Frequent Elements,/problems/top-k-frequent-elements,free,64.5%,Medium
348,Design Tic-Tac-Toe,/problems/design-tic-tac-toe,premium,57.1%,Medium
349,Intersection of Two Arrays,/problems/intersection-of-two-arrays,free,68.7%,Easy
350,Intersection of Two Arrays II,/problems/intersection-of-two-arrays-ii,free,54.7%,Easy
351,Android Unlock Patterns,/problems/android-unlock-patterns,premium,50.9%,Medium
352,Data Stream as Disjoint Intervals,/problems/data-stream-as-disjoint-intervals,free,50.5%,Hard
353,Design Snake Game,/problems/design-snake-game,premium,38.0%,Medium
354,Russian Doll Envelopes,/problems/russian-doll-envelopes,free,39.2%,Hard
355,Design Twitter,/problems/design-twitter,free,34.2%,Medium
356,Line Reflection,/problems/line-reflection,premium,34.3%,Medium
357,Count Numbers with Unique Digits,/problems/count-numbers-with-unique-digits,free,50.5%,Medium
358,Rearrange String k Distance Apart,/problems/rearrange-string-k-distance-apart,premium,36.9%,Hard
359,Logger Rate Limiter,/problems/logger-rate-limiter,premium,74.8%,Easy
360,Sort Transformed Array,/problems/sort-transformed-array,premium,53.1%,Medium
361,Bomb Enemy,/problems/bomb-enemy,premium,49.9%,Medium
362,Design Hit Counter,/problems/design-hit-counter,premium,67.2%,Medium
363,Max Sum of Rectangle No Larger Than K,/problems/max-sum-of-rectangle-no-larger-than-k,free,40.1%,Hard
364,Nested List Weight Sum II,/problems/nested-list-weight-sum-ii,premium,68.0%,Medium
